Year,Type,Country,Activity,Sex,Fatal,Sharks,Month
2015,UNPROVOKED,USA,Walking,Female,NO,Other sharks,aug
2015,BOAT,USA,Kayak Fishing,Male,NO,White shark,aug
2015,PROVOKED,USA,Spearfishing,Male,NO,Other sharks,aug
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,jul
2015,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,jul
2015,UNPROVOKED,AUSTRALIA,Scallop diving on hookah,Male,YES,White shark,jul
2015,PROVOKED,USA,Kayak Fishing,Male,NO,Other sharks,jul
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,jul
2015,UNPROVOKED,REUNION,Surfing,Male,NO,Other sharks,jul
2015,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,White shark,jul
2015,UNPROVOKED,USA,Surfing,Male,NO,White shark,jul
2015,UNPROVOKED,BAHAMAS,Spearfishing,Female,NO,Other sharks,jul
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,jul
2015,UNPROVOKED,AUSTRALIA,Body boarding ,Male,NO,White shark,jul
2015,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jul
2015,UNPROVOKED,USA,Playing in the water,Male,NO,Other sharks,jun
2015,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jun
2015,UNPROVOKED,SOUTH AFRICA,Body Boarding,Male,NO,White shark,jun
2015,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,White shark,jun
2015,UNPROVOKED,USA,Standing,Male,NO,Other sharks,jun
2015,PROVOKED,AUSTRALIA,Swimming,Male,NO,Other sharks,jun
2015,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jun
2015,INVALID,AUSTRALIA,Surfing,Female,NO,White shark,jun
2015,UNPROVOKED,USA,Standing,Male,NO,Other sharks,jun
2015,UNPROVOKED,USA,Wading,Male,NO,Other sharks,jun
2015,UNPROVOKED,USA,Wading,Female,NO,Other sharks,jun
2015,UNPROVOKED,USA,Boogie boarding,Female,NO,Other sharks,jun
2015,UNPROVOKED,USA,Playing,Male,NO,Other sharks,jun
2015,UNPROVOKED,USA,Attempting to rescue a shark,Female,NO,Other sharks,jun
2015,UNPROVOKED,REUNION,Surfing,Male,NO,Other sharks,jun
2015,UNPROVOKED,FRENCH POLYNESIA,Spearfishing,Male,NO,Other sharks,may
2015,UNPROVOKED,NEW CALEDONIA,Snorkeling,Male,YES,Other sharks,may
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,may
2015,UNPROVOKED,SOUTH AFRICA,Diving,Male,NO,White shark,may
2015,UNPROVOKED,USA,Wading,Male,NO,Other sharks,apr
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,apr
2015,UNPROVOKED,AUSTRALIA,Surf skiing ,Male,NO,White shark,jun
2015,UNPROVOKED,USA,Photographing the shark,Male,NO,Other sharks,apr
2015,UNPROVOKED,REUNION,Surfing,Male,YES,Other sharks,apr
2015,UNPROVOKED,USA,Spearfishing,Male,NO,Other sharks,apr
2015,BOAT,SOUTH AFRICA,Kayak Fishing,Male,NO,White shark,mar
2015,UNPROVOKED,EGYPT,Swimming,Male,YES,Other sharks,mar
2015,UNPROVOKED,USA,Standing / Snorkeling,Male,NO,Other sharks,mar
2015,UNPROVOKED,FRENCH POLYNESIA,Hand feeding sharks,Male,NO,Other sharks,mar
2015,UNPROVOKED,FRENCH POLYNESIA,Sitting in the water,Male,NO,Other sharks,mar
2015,UNPROVOKED,REUNION,Swimming,Female,YES,Other sharks,feb
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,YES,Other sharks,feb
2015,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,feb
2015,UNPROVOKED,AUSTRALIA,Bodysurfing,Male,NO,Other sharks,feb
2015,BOAT,AUSTRALIA,Rowing,Male,NO,Other sharks,jan
2015,PROVOKED,USA,Shark fishing,Male,NO,Other sharks,jan
2015,BOAT,USA,Fishing,Male,NO,White shark,jan
2015,BOAT,AUSTRALIA,Fishing,Male,NO,Other sharks,jan
2015,UNPROVOKED,AUSTRALIA,Filming,Male,NO,Other sharks,jan
2015,UNPROVOKED,BAHAMAS,Snorkeling,Female,NO,White shark,jan
2015,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,Other sharks,jan
2014,UNPROVOKED,AUSTRALIA,Spearfishing,Male,YES,White shark,dec
2014,UNPROVOKED,USA,Surfing,Male,NO,White shark,dec
2014,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,dec
2014,UNPROVOKED,JAPAN,Diving / Filming,Male,NO,Other sharks,dec
2014,UNPROVOKED,AUSTRALIA,Spearfishing,Male,YES,Other sharks,dec
2014,BOAT,AUSTRALIA,Fishing,Male,NO,White shark,nov
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,nov
2014,UNPROVOKED,USA,Snorkeling,Male,NO,Other sharks,nov
2014,UNPROVOKED,USA,Surfing,Female,NO,Other sharks,oct
2014,UNPROVOKED,USA,Stand-Up Paddleboarding,Female,NO,Other sharks,oct
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2014,UNPROVOKED,AUSTRALIA,Surfing,Female,NO,Other sharks,oct
2014,UNPROVOKED,USA,Standing in inner tube,Female,NO,Other sharks,oct
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
